Unable to open procfile. Are you root?
Cycles when page 1 is non-cacheable are: 385823

Cycles when page 2 is non-cacheable are: 383240

Cycles when page 3 is non-cacheable are: 382704

Cycles when page 4 is non-cacheable are: 382821

Cycles when page 5 is non-cacheable are: 382668

Cycles when page 6 is non-cacheable are: 382911

Cycles when page 7 is non-cacheable are: 382614

Cycles when page 8 is non-cacheable are: 382590

Cycles when page 9 is non-cacheable are: 382860

Cycles when page 10 is non-cacheable are: 382648

Cycles when page 11 is non-cacheable are: 382978

Cycles when page 12 is non-cacheable are: 382670

Cycles when page 13 is non-cacheable are: 382853

Cycles when page 14 is non-cacheable are: 382640

Cycles when page 15 is non-cacheable are: 382919

Cycles when page 16 is non-cacheable are: 382590

Cycles when page 17 is non-cacheable are: 382829

Cycles when page 18 is non-cacheable are: 382617

Cycles when page 19 is non-cacheable are: 382901

Cycles when page 20 is non-cacheable are: 383180

Cycles when page 21 is non-cacheable are: 383478

Cycles when page 22 is non-cacheable are: 382720

Cycles when page 23 is non-cacheable are: 382752

Cycles when page 24 is non-cacheable are: 383002

Cycles when page 25 is non-cacheable are: 382588

Cycles when page 26 is non-cacheable are: 382779

Cycles when page 27 is non-cacheable are: 392427

Cycles when page 28 is non-cacheable are: 383186

Cycles when page 29 is non-cacheable are: 382620

Cycles when page 30 is non-cacheable are: 382767

Cycles when page 31 is non-cacheable are: 382506

Cycles when page 32 is non-cacheable are: 382898

Cycles when page 33 is non-cacheable are: 382580

Cycles when page 34 is non-cacheable are: 382912

Cycles when page 35 is non-cacheable are: 383610

Cycles when page 36 is non-cacheable are: 382942

Cycles when page 37 is non-cacheable are: 382759

Cycles when page 38 is non-cacheable are: 382613

Cycles when page 39 is non-cacheable are: 382728

Cycles when page 40 is non-cacheable are: 382642

Cycles when page 41 is non-cacheable are: 382985

Cycles when page 42 is non-cacheable are: 382685

Cycles when page 43 is non-cacheable are: 382832

Cycles when page 44 is non-cacheable are: 382635

Cycles when page 45 is non-cacheable are: 382937
