Unable to open procfile. Are you root?
Cycles when page 1 is cacheable are: 383213

Cycles when page 2 is cacheable are: 383343

Cycles when page 3 is cacheable are: 382821

Cycles when page 4 is cacheable are: 382889

Cycles when page 5 is cacheable are: 382686

Cycles when page 6 is cacheable are: 383085

Cycles when page 7 is cacheable are: 382684

Cycles when page 8 is cacheable are: 382876

Cycles when page 9 is cacheable are: 382647

Cycles when page 10 is cacheable are: 383012

Cycles when page 11 is cacheable are: 382659

Cycles when page 12 is cacheable are: 382619

Cycles when page 13 is cacheable are: 383149

Cycles when page 14 is cacheable are: 382691

Cycles when page 15 is cacheable are: 383341

Cycles when page 16 is cacheable are: 383366

Cycles when page 17 is cacheable are: 383164

Cycles when page 18 is cacheable are: 382664

Cycles when page 19 is cacheable are: 382978

Cycles when page 20 is cacheable are: 382657

Cycles when page 21 is cacheable are: 382926

Cycles when page 22 is cacheable are: 382713

Cycles when page 23 is cacheable are: 382942

Cycles when page 24 is cacheable are: 382680

Cycles when page 25 is cacheable are: 382887

Cycles when page 26 is cacheable are: 382776

Cycles when page 27 is cacheable are: 382568

Cycles when page 28 is cacheable are: 382936

Cycles when page 29 is cacheable are: 382642

Cycles when page 30 is cacheable are: 382841

Cycles when page 31 is cacheable are: 382566

Cycles when page 32 is cacheable are: 382850

Cycles when page 33 is cacheable are: 383349

Cycles when page 34 is cacheable are: 382911

Cycles when page 35 is cacheable are: 382698

Cycles when page 36 is cacheable are: 383030

Cycles when page 37 is cacheable are: 382639

Cycles when page 38 is cacheable are: 382961

Cycles when page 39 is cacheable are: 382689

Cycles when page 40 is cacheable are: 382933

Cycles when page 41 is cacheable are: 382661

Cycles when page 42 is cacheable are: 382639

Cycles when page 43 is cacheable are: 382878

Cycles when page 44 is cacheable are: 382632

Cycles when page 45 is cacheable are: 382922
